date,call_pnl,call_margin,put_pnl,put_margin,sell_lots,pnl,ret
2023-09-28,,1067.0,,1267.0,1,,
2023-09-28,,1067.0,,1267.0,1,,
2023-09-27,-22.599986350536348,978.8,26.400004917383193,1245.8,1,3.8000185668468447,3.800018566846845e-07
2023-09-27,-22.599986350536348,978.8,26.400004917383193,1245.8,1,3.8000185668468447,3.800018566846845e-07
2023-09-26,-0.09998731911182412,954.4,-1.1000135600566865,1243.4,1,-1.2000008791685106,-1.2000008791685105e-07
2023-09-26,-0.09998731911182412,954.4,-1.1000135600566865,1243.4,1,-1.2000008791685106,-1.2000008791685105e-07
2023-09-25,22.90001086294651,1035.8,-11.600005036592483,1212.8,1,11.300005826354026,1.1300005826354026e-06
2023-09-25,22.90001086294651,1035.8,-11.600005036592483,1212.8,1,11.300005826354026,1.1300005826354026e-06
2023-09-22,-93.60000543892383,753.45,168.3999872148037,1199.45,1,74.79998177587987,7.479998177587987e-06
2023-09-22,-93.60000543892383,753.45,168.3999872148037,1199.45,1,74.79998177587987,7.479998177587987e-06
2023-09-21,24.3999990016222,844.6,-56.09999463558197,1227.6,1,-31.699995633959773,-3.1699995633959772e-06
2023-09-21,24.3999990016222,844.6,-56.09999463558197,1227.6,1,-31.699995633959773,-3.1699995633959772e-06
2023-09-20,17.399996922910212,913.6,-53.0999997317791,1227.6,1,-35.70000280886889,-3.5700002808868887e-06
2023-09-20,17.399996922910212,913.6,-53.0999997317791,1227.6,1,-35.70000280886889,-3.5700002808868887e-06
2023-09-19,5.400003337860108,835.2,-20.099999910593034,1101.2,1,-14.699996572732926,-1.4699996572732927e-06
2023-09-19,5.400003337860108,835.2,-20.099999910593034,1101.2,1,-14.699996572732926,-1.4699996572732927e-06
2023-09-18,,,,,1,,
2023-09-15,-12.60000100955367,894.8,60.40000303983688,1136.8,1,47.80000203028321,4.780000203028321e-06
2023-09-15,-12.60000100955367,894.8,60.40000303983688,1136.8,1,47.80000203028321,4.780000203028321e-06
2023-09-14,21.399999441206454,1009.2,-10.099988958239555,1183.2,1,11.300010482966899,1.1300010482966898e-06
2023-09-14,21.399999441206454,1009.2,-10.099988958239555,1183.2,1,11.300010482966899,1.1300010482966898e-06
2023-09-13,38.900002309679984,1225.0,-73.09999369680881,1270.0,1,-34.199991387128826,-3.4199991387128827e-06
2023-09-13,38.900002309679984,1225.0,-73.09999369680881,1270.0,1,-34.199991387128826,-3.4199991387128827e-06
2023-09-12,20.40001510977745,1314.8,-0.5999957829713822,1302.8,1,19.800019326806066,1.9800019326806066e-06
2023-09-12,20.40001510977745,1314.8,-0.5999957829713822,1302.8,1,19.800019326806066,1.9800019326806066e-06
